174: X: -2.627661, Y: -2.627577, Z: 4.088593
175: X: -2.662500, Y: -2.662500, Z: 4.000000
176: X: -2.897280, Y: -2.078720, Z: 4.000000
177: X: -2.851243, Y: -2.057821, Z: 4.088594
178: X: -2.826003, Y: -2.049618, Z: 4.157500
179: X: -2.818744, Y: -2.052328, Z: 4.206718
180: X: -2.826650, Y: -2.064169, Z: 4.236250
181: X: -2.846903, Y: -2.083360, Z: 4.246094
182: X: -2.876687, Y: -2.108119, Z: 4.236250
183: X: -2.913185, Y: -2.136664, Z: 4.206718
184: X: -2.953581, Y: -2.167214, Z: 4.157500
185: X: -2.995058, Y: -2.197986, Z: 4.088593
186: X: -3.034800, Y: -2.227200, Z: 4.000000
187: X: -3.156965, Y: -1.620360, Z: 4.000000
188: X: -3.114130, Y: -1.604069, Z: 4.088594
189: X: -3.092611, Y: -1.597675, Z: 4.157500
190: X: -3.089484, Y: -1.599787, Z: 4.206718
191: X: -3.101824, Y: -1.609017, Z: 4.236250
192: X: -3.126708, Y: -1.623977, Z: 4.246094
193: X: -3.161209, Y: -1.643276, Z: 4.236250
194: X: -3.202403, Y: -1.665527, Z: 4.206718
195: X: -3.247366, Y: -1.689341, Z: 4.157500
196: X: -3.293174, Y: -1.713328, Z: 4.088593
197: X: -3.336900, Y: -1.736100, Z: 4.000000
198: X: -3.345760, Y: -1.116640, Z: 4.000000
199: X: -3.306487, Y: -1.105413, Z: 4.088594
200: X: -3.288681, Y: -1.101007, Z: 4.157500
201: X: -3.289364, Y: -1.102462, Z: 4.206718
202: X: -3.305557, Y: -1.108823, Z: 4.236250
203: X: -3.334280, Y: -1.119132, Z: 4.246094
204: X: -3.372556, Y: -1.132432, Z: 4.236250
205: X: -3.417404, Y: -1.147766, Z: 4.206718
206: X: -3.465847, Y: -1.164177, Z: 4.157500
207: X: -3.514905, Y: -1.180707, Z: 4.088593
208: X: -3.561600, Y: -1.196400, Z: 4.000000
209: X: -3.460995, Y: -0.574279, Z: 4.000000
210: X: -3.424614, Y: -0.568506, Z: 4.088594
211: X: -3.409662, Y: -0.566240, Z: 4.157500
212: X: -3.413139, Y: -0.566988, Z: 4.206718
213: X: -3.432048, Y: -0.570260, Z: 4.236250
214: X: -3.463391, Y: -0.575561, Z: 4.246094
215: X: -3.504171, Y: -0.582401, Z: 4.236250
216: X: -3.551390, Y: -0.590288, Z: 4.206718
217: X: -3.602050, Y: -0.598727, Z: 4.157500
218: X: -3.653152, Y: -0.607229, Z: 4.088593
219: X: -3.701700, Y: -0.615299, Z: 4.000000
220: X: -3.500000, Y: 0.000001, Z: 4.000000
221: X: -3.464812, Y: 0.000001, Z: 4.088594
222: X: -3.451000, Y: 0.000001, Z: 4.157500
223: X: -3.455563, Y: 0.000001, Z: 4.206718
224: X: -3.475500, Y: 0.000001, Z: 4.236250
225: X: -3.507813, Y: 0.000001, Z: 4.246094
226: X: -3.549500, Y: 0.000001, Z: 4.236250
227: X: -3.597563, Y: 0.000001, Z: 4.206718
228: X: -3.649000, Y: 0.000001, Z: 4.157500
229: X: -3.700812, Y: 0.000001, Z: 4.088593
230: X: -3.750000, Y: 0.000001, Z: 4.000000
231: X: -3.454920, Y: 0.574280, Z: 4.000000
232: X: -3.420186, Y: 0.568506, Z: 4.088594
233: X: -3.406551, Y: 0.566240, Z: 4.157500
234: X: -3.411055, Y: 0.566989, Z: 4.206718
235: X: -3.430736, Y: 0.570260, Z: 4.236250
236: X: -3.462632, Y: 0.575562, Z: 4.246094
237: X: -3.503783, Y: 0.582402, Z: 4.236250
238: X: -3.551226, Y: 0.590288, Z: 4.206718
239: X: -3.602001, Y: 0.598728, Z: 4.157500
240: X: -3.653146, Y: 0.607229, Z: 4.088593
241: X: -3.701700, Y: 0.615300, Z: 4.000000
242: X: -3.324160, Y: 1.116640, Z: 4.000000
243: X: -3.290740, Y: 1.105414, Z: 4.088594
244: X: -3.277622, Y: 1.101007, Z: 4.157500
245: X: -3.281955, Y: 1.102463, Z: 4.206718
246: X: -3.300891, Y: 1.108824, Z: 4.236250
247: X: -3.331580, Y: 1.119133, Z: 4.246094
248: X: -3.371173, Y: 1.132432, Z: 4.236250
249: X: -3.416821, Y: 1.147766, Z: 4.206718
250: X: -3.465674, Y: 1.164177, Z: 4.157500
251: X: -3.514884, Y: 1.180707, Z: 4.088593
252: X: -3.561600, Y: 1.196400, Z: 4.000000
253: X: -3.114440, Y: 1.620360, Z: 4.000000
254: X: -3.083129, Y: 1.604070, Z: 4.088594
255: X: -3.070838, Y: 1.597675, Z: 4.157500
256: X: -3.074898, Y: 1.599787, Z: 4.206718
257: X: -3.092639, Y: 1.609018, Z: 4.236250
258: X: -3.121392, Y: 1.623977, Z: 4.246094
259: X: -3.158487, Y: 1.643277, Z: 4.236250
260: X: -3.201255, Y: 1.665528, Z: 4.206718
261: X: -3.247026, Y: 1.689341, Z: 4.157500
262: X: -3.293131, Y: 1.713328, Z: 4.088593
263: X: -3.336900, Y: 1.736100, Z: 4.000000
264: X: -2.832480, Y: 2.078720, Z: 4.000000
265: X: -2.804004, Y: 2.057822, Z: 4.088594
266: X: -2.792825, Y: 2.049618, Z: 4.157500
267: X: -2.796518, Y: 2.052328, Z: 4.206718
268: X: -2.812653, Y: 2.064169, Z: 4.236250
269: X: -2.838802, Y: 2.083360, Z: 4.246094
270: X: -2.872540, Y: 2.108119, Z: 4.236250
271: X: -2.911435, Y: 2.136664, Z: 4.206718
272: X: -2.953063, Y: 2.167214, Z: 4.157500
273: X: -2.994994, Y: 2.197987, Z: 4.088593
274: X: -3.034800, Y: 2.227200, Z: 4.000000
275: X: -2.485000, Y: 2.485000, Z: 4.000000
276: X: -2.460017, Y: 2.460017, Z: 4.088594
277: X: -2.450210, Y: 2.450210, Z: 4.157500
278: X: -2.453449, Y: 2.453449, Z: 4.206718
279: X: -2.467605, Y: 2.467605, Z: 4.236250
280: X: -2.490547, Y: 2.490547, Z: 4.246094
281: X: -2.520145, Y: 2.520145, Z: 4.236250
282: X: -2.554269, Y: 2.554269, Z: 4.206718
283: X: -2.590790, Y: 2.590790, Z: 4.157500
284: X: -2.627577, Y: 2.627577, Z: 4.088593
285: X: -2.662500, Y: 2.662500, Z: 4.000000
286: X: -2.078720, Y: 2.832480, Z: 4.000000
287: X: -2.057821, Y: 2.804004, Z: 4.088594
288: X: -2.049618, Y: 2.792825, Z: 4.157500
289: X: -2.052328, Y: 2.796518, Z: 4.206718
290: X: -2.064169, Y: 2.812653, Z: 4.236250
291: X: -2.083360, Y: 2.838803, Z: 4.246094
292: X: -2.108119, Y: 2.872540, Z: 4.236250
293: X: -2.136664, Y: 2.911435, Z: 4.206718
294: X: -2.167214, Y: 2.953063, Z: 4.157500
295: X: -2.197986, Y: 2.994994, Z: 4.088593
296: X: -2.227200, Y: 3.034800, Z: 4.000000
297: X: -1.620360, Y: 3.114440, Z: 4.000000
298: X: -1.604069, Y: 3.083129, Z: 4.088594
299: X: -1.597675, Y: 3.070838, Z: 4.157500
300: X: -1.599787, Y: 3.074898, Z: 4.206718
301: X: -1.609017, Y: 3.092639, Z: 4.236250
302: X: -1.623977, Y: 3.121392, Z: 4.246094
303: X: -1.643276, Y: 3.158487, Z: 4.236250
304: X: -1.665527, Y: 3.201255, Z: 4.206718
305: X: -1.689341, Y: 3.247026, Z: 4.157500
306: X: -1.713328, Y: 3.293131, Z: 4.088593
307: X: -1.736100, Y: 3.336900, Z: 4.000000
308: X: -1.116640, Y: 3.324160, Z: 4.000000
309: X: -1.105413, Y: 3.290740, Z: 4.088594
310: X: -1.101007, Y: 3.277622, Z: 4.157500
311: X: -1.102462, Y: 3.281955, Z: 4.206718
312: X: -1.108823, Y: 3.300891, Z: 4.236250
313: X: -1.119132, Y: 3.331580, Z: 4.246094
314: X: -1.132432, Y: 3.371173, Z: 4.236250
315: X: -1.147766, Y: 3.416821, Z: 4.206718
316: X: -1.164177, Y: 3.465674, Z: 4.157500
317: X: -1.180707, Y: 3.514884, Z: 4.088593
318: X: -1.196400, Y: 3.561600, Z: 4.000000
319: X: -0.574279, Y: 3.454920, Z: 4.000000
320: X: -0.568506, Y: 3.420186, Z: 4.088594
321: X: -0.566240, Y: 3.406551, Z: 4.157500
322: X: -0.566988, Y: 3.411055, Z: 4.206718
323: X: -0.570260, Y: 3.430736, Z: 4.236250
324: X: -0.575561, Y: 3.462632, Z: 4.246094
325: X: -0.582401, Y: 3.503783, Z: 4.236250
326: X: -0.590288, Y: 3.551226, Z: 4.206718
327: X: -0.598727, Y: 3.602001, Z: 4.157500
328: X: -0.607229, Y: 3.653146, Z: 4.088593
329: X: -0.615299, Y: 3.701700, Z: 4.000000
330: X: 0.000001, Y: 3.500000, Z: 4.000000
331: X: 0.000001, Y: 3.464812, Z: 4.088594
332: X: 0.000001, Y: 3.451000, Z: 4.157500
333: X: 0.000001, Y: 3.455563, Z: 4.206718
334: X: 0.000001, Y: 3.475500, Z: 4.236250
335: X: 0.000001, Y: 3.507813, Z: 4.246094
336: X: 0.000001, Y: 3.549500, Z: 4.236250
337: X: 0.000001, Y: 3.597563, Z: 4.206718
338: X: 0.000001, Y: 3.649000, Z: 4.157500
339: X: 0.000001, Y: 3.700812, Z: 4.088593
340: X: 0.000001, Y: 3.750000, Z: 4.000000
341: X: 0.574280, Y: 3.454920, Z: 4.000000
342: X: 0.568506, Y: 3.420186, Z: 4.088594
343: X: 0.566240, Y: 3.406551, Z: 4.157500
344: X: 0.566989, Y: 3.411055, Z: 4.206718
